Starting to process folder: /local/home/shaamarl/testing-sundance/Sundance-SMT/20241211-verus-modified11
[271/3763] verussystems/ironkv-smt-verus_extra__seq_lib_v.6.smt2 -> UNKNOWN [3.21s]
[272/3763] verussystems/noderep-smt-exec__utils.1.smt2 -> UNKNOWN [2.72s]
[273/3763] verussystems/ironkv-smt-host_protocol_t.10.smt2 -> UNSAT [3.24s]
[274/3763] verussystems/ironkv-smt-delegation_map_v.52.smt2 -> UNKNOWN [4.22s]
[275/3763] verussystems/ironkv-smt-host_protocol_t.21.smt2 -> UNSAT [3.87s]
[276/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-kv__kvimpl_v.2.smt2 -> UNSAT [16.59s]
[277/3763] verussystems/ironkv-smt-marshal_v.50.smt2 -> UNKNOWN [2.95s]
[278/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.28.smt2 -> UNSAT [2.85s]
[279/3763] verussystems/ironkv-smt-marshal_v.18.smt2 -> UNKNOWN [2.72s]
[280/3763] verussystems/ironkv-smt-delegation_map_v.36.smt2 -> UNKNOWN [16.69s]
[281/3763] verussystems/noderep-smt-spec__unbounded_log.10.smt2 -> UNKNOWN [7.30s]
