Starting to process folder: /local/home/shaamarl/testing-sundance/Sundance-SMT/20241211-verus-modified11
[270/3763] verussystems/mimalloc-smt-flags.9.smt2 -> UNKNOWN [2.55s]
[271/3763] verussystems/noderep-smt-spec__unbounded_log__UnboundedLog.3.smt2 -> UNSAT [4.13s]
[272/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.50.smt2 -> UNKNOWN [4.20s]
[273/3763] verussystems/ironkv-smt-marshal_v.21.smt2 -> UNKNOWN [4.02s]
[274/3763] verussystems/ironkv-smt-host_protocol_t.21.smt2 -> UNSAT [3.74s]
[275/3763] verussystems/ironkv-smt-host_protocol_t.10.smt2 -> UNSAT [2.92s]
[276/3763] verussystems/ironkv-smt-verus_extra__set_lib_ext_v.22.smt2 -> UNKNOWN [3.42s]
[277/3763] verussystems/noderep-smt-exec__utils.1.smt2 -> UNKNOWN [2.39s]
[278/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.28.smt2 -> UNSAT [2.50s]
[279/3763] verussystems/ironkv-smt-marshal_v.18.smt2 -> UNKNOWN [2.56s]
[280/3763] verussystems/ironkv-smt-marshal_v.50.smt2 -> UNKNOWN [2.94s]
[281/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-kv__kvimpl_v.3.smt2 -> UNSAT [2.52s]
